spanish	japanese	type	typeName	exEs	exEn	exJa
ser	〜である（本質）	v	動詞	Soy de Japón.	I am from Japan.	私は日本出身です。
estar	〜である（状態・位置）	v	動詞	¿Cómo estás hoy?	How are you today?	今日の調子はどう？
haber	〜がある、〜した	v	動詞	Hay una duda.	There is a doubt.	疑問が一つあります。
tener	持っている	v	動詞	Tengo mucho trabajo.	I have a lot of work.	仕事がたくさんあります。
hacer	する、作る	v	動詞	¿Qué haces ahora?	What are you doing now?	今何してるの？
ir	行く	v	動詞	Voy a la oficina.	I am going to the office.	オフィスに行きます。
poder	〜できる	v	動詞	Puedo hacerlo solo.	I can do it alone.	一人でできます。
decir	言う	v	動詞	Dime la verdad.	Tell me the truth.	本当のことを言って。
ver	見る、会う	v	動詞	Nos vemos mañana.	See you tomorrow.	また明日会いましょう。
comer	食べる	v	動詞	Vamos a comer algo.	Let's eat something.	何か食べに行こう。
tomar	取る、飲む、乗る	v	動詞	Tomo un café.	I'll have a coffee.	コーヒーを一杯飲みます。
querer	〜したい、欲する	v	動詞	Quiero aprender más.	I want to learn more.	もっと学びたいです。
saber	知っている、〜できる	v	動詞	No sé la respuesta.	I don't know the answer.	答えが分かりません。
conocer	知っている、知り合う	v	動詞	Mucho gusto en conocerte.	Nice to meet you.	お会いできて嬉しいです。
llegar	到着する	v	動詞	Llego a tiempo.	I arrive on time.	時間通りに着きます。
pasar	通る、起こる	v	動詞	¿Qué pasó?	What happened?	何があったの？
deber	〜すべきである	v	動詞	Debo estudiar hoy.	I must study today.	今日勉強しなければならない。
poner	置く、つける	v	動詞	Pon el libro aquí.	Put the book here.	本をここに置いて。
parecer	〜に見える、思える	v	動詞	Me parece una buena idea.	It seems like a good idea to me.	良いアイデアだと思います。
hablar	話す	v	動詞	Hablo un poco de español.	I speak a little Spanish.	スペイン語を少し話します。
dar	与える	v	動詞	Dame un momento.	Give me a moment.	少し時間をください。
llevar	持っていく	v	動詞	Llevo este bolso.	I'll take this bag.	このバッグを持っていきます。
dejar	残す、やめる	v	動詞	Déjame ver.	Let me see.	私に見せて。
seguir	続ける、従う	v	動詞	Sigue adelante.	Keep going forward.	前へ進み続けなさい。
encontrar	見つける	v	動詞	No encuentro mis llaves.	I can't find my keys.	鍵が見つかりません。
pensar	考える	v	動詞	Pienso que sí.	I think so.	そう思います。
salir	出る、出かける	v	動詞	Salgo a las seis.	I leave at six.	6時に出かけます。
volver	戻る、帰る	v	動詞	Vuelvo pronto.	I'll return soon.	すぐに戻ります。
pedir	頼む、注文する	v	動詞	Quiero pedir esto.	I want to order this.	これを注文したいです。
entender	理解する	v	動詞	Entiendo perfectamente.	I understand perfectly.	完全に理解しています。
lograr	達成する	v	動詞	Logramos la meta.	We achieved the goal.	目標を達成しました。
trabajar	働く	v	動詞	Trabajo desde casa.	I work from home.	在宅で働いています。
necesitar	必要とする	v	動詞	Necesito ayuda.	I need help.	助けが必要です。
esperar	待つ、期待する	v	動詞	Te espero aquí.	I'll wait for you here.	ここで君を待っているよ。
buscar	探す	v	動詞	Busco una solución.	I'm looking for a solution.	解決策を探しています。
tiempo	時間、天候	m	男性名詞	No tengo tiempo.	I don't have time.	時間がありません。
vez	回、度	f	女性名詞	Una vez más, por favor.	One more time, please.	もう一度お願いします。
día	日	m	男性名詞	¡Buen día!	Good day!	良い一日を！
año	年	m	男性名詞	Feliz año nuevo.	Happy New Year.	明けましておめでとう。
cosa	もの、こと	f	女性名詞	Hay otra cosa.	There is another thing.	もう一つ別のことがあります。
hombre	男性	m	男性名詞	Es un hombre sabio.	He is a wise man.	彼は賢い人です。
mujer	女性	f	女性名詞	Es una mujer fuerte.	She is a strong woman.	彼女は強い女性です。
vida	生活、人生	f	女性名詞	La vida es bella.	Life is beautiful.	人生は美しい。
forma	方法、形	f	女性名詞	De esta forma es fácil.	In this way it's easy.	この方法なら簡単です。
casa	家	f	女性名詞	Estoy en casa.	I'm at home.	家にいます。
mundo	世界	m	男性名詞	En todo el mundo.	All over the world.	世界中で。
trabajo	仕事	m	男性名詞	Buen trabajo.	Good job.	お疲れ様。
lugar	場所	m	男性名詞	Un lugar tranquilo.	A quiet place.	静かな場所。
problema	問題	m	男性名詞	No hay problema.	No problem.	問題ありません。
persona	人	f	女性名詞	Es una buena persona.	He/She is a good person.	良い人です。
parte	部分	f	女性名詞	Una gran parte del proyecto.	A big part of the project.	プロジェクトの大きな部分。
momento	瞬間、時間	m	男性名詞	Un momento, por favor.	One moment, please.	少々お待ちください。
